Description,link
" گزارش آگهی ,قیمت کل: ,12.05 میلیارد تومان,قیمت هر متر مربع: ,98 میلیون تومان, تهران ، منطقه 7 ، خرمشهر - اپادانا ,نشان کردن",https://kilid.com/buy/detail/3012679
" گزارش آگهی ,قیمت کل: ,6.8 میلیارد تومان, تهران ، منطقه 7 ، سهروردی شمالی ,نشان کردن",https://kilid.com/buy/detail/3012672
" گزارش آگهی ,قیمت کل: ,5.63 میلیارد تومان,قیمت هر متر مربع: ,75 میلیون تومان, تهران ، منطقه 7 ، سهروردی شمالی ,نشان کردن",https://kilid.com/buy/detail/3009290
" گزارش آگهی ,قیمت کل: ,8.6 میلیارد تومان, تهران ، منطقه 7 ، سهروردی شمالی ,نشان کردن",https://kilid.com/buy/detail/3012675
" گزارش آگهی ,قیمت کل: ,9.75 میلیارد تومان,قیمت هر متر مربع: ,75 میلیون تومان, تهران ، منطقه 7 ، سهروردی جنوبی ,نشان کردن",https://kilid.com/buy/detail/3009287
" گزارش آگهی ,قیمت کل: ,4.9 میلیارد تومان,قیمت هر متر مربع: ,57 میلیون تومان, تهران ، منطقه 7 ، سهروردی جنوبی ,نشان کردن",https://kilid.com/buy/detail/3009214
" گزارش آگهی ,قیمت کل: ,5.85 میلیارد تومان,قیمت هر متر مربع: ,73 میلیون تومان, تهران ، منطقه 7 ، سهروردی شمالی ,نشان کردن",https://kilid.com/buy/detail/3009215
" گزارش آگهی ,قیمت کل: ,6.5 میلیارد تومان,قیمت هر متر مربع: ,77 میلیون تومان, تهران ، منطقه 7 ، سهروردی شمالی ,نشان کردن",https://kilid.com/buy/detail/3009217
" گزارش آگهی ,قیمت کل: ,7.3 میلیارد تومان,قیمت هر متر مربع: ,82 میلیون تومان, تهران ، منطقه 7 ، سهروردی شمالی ,نشان کردن",https://kilid.com/buy/detail/3009211
" گزارش آگهی ,قیمت کل: ,29.12 میلیارد تومان,قیمت هر متر مربع: ,112 میلیون تومان, تهران ، منطقه 4 ، پاسداران - ضرابخانه ,نشان کردن",https://kilid.com/buy/detail/3017995
" گزارش آگهی ,قیمت کل: ,3.9 میلیارد تومان, تهران ، منطقه 5 ، فردوس ,نشان کردن",https://kilid.com/buy/detail/3041170
" گزارش آگهی ,قیمت کل: ,8.4 میلیارد تومان,قیمت هر متر مربع: ,70 میلیون تومان, تهران ، منطقه 7 ، بهار شیراز ,نشان کردن",https://kilid.com/buy/detail/3020132
" گزارش آگهی ,قیمت کل: ,6.3 میلیارد تومان,قیمت هر متر مربع: ,70 میلیون تومان, تهران ، منطقه 7 ، بهار شیراز ,نمایش بیشتر,نشان کردن",https://kilid.com/buy/detail/3020136
" گزارش آگهی ,قیمت کل: ,7.4 میلیارد تومان, تهران ، منطقه 7 ، بهار ,نشان کردن",https://kilid.com/buy/detail/3031379
" گزارش آگهی ,قیمت کل: ,17.6 میلیارد تومان, تهران ، منطقه 7 ، خرمشهر - اپادانا ,نشان کردن",https://kilid.com/buy/detail/3038567
" گزارش آگهی ,قیمت کل: ,7 میلیارد تومان,قیمت هر متر مربع: ,70 میلیون تومان, تهران ، منطقه 7 ، بهار شیراز ,نشان کردن",https://kilid.com/buy/detail/3020127
" گزارش آگهی ,قیمت کل: ,6.1 میلیارد تومان,قیمت هر متر مربع: ,83 میلیون تومان, تهران ، منطقه 7 ، خرمشهر - اپادانا ,نشان کردن",https://kilid.com/buy/detail/3009208
" گزارش آگهی ,قیمت کل: ,57.62 میلیارد تومان,قیمت هر متر مربع: ,172 میلیون تومان, تهران ، منطقه 3 ، دروس ,نمایش بیشتر,نشان کردن",https://kilid.com/buy/detail/3017984
" گزارش آگهی ,قیمت کل: ,6.5 میلیارد تومان,قیمت هر متر مربع: ,59 میلیون تومان, تهران ، منطقه 7 ، سهروردی شمالی ,نشان کردن",https://kilid.com/buy/detail/3017789
" گزارش آگهی ,قیمت کل: ,8.9 میلیارد تومان,قیمت هر متر مربع: ,82.4 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3016003
" گزارش آگهی ,قیمت کل: ,8.5 میلیارد تومان,قیمت هر متر مربع: ,77.3 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3015996
" گزارش آگهی ,قیمت کل: ,7.5 میلیارد تومان,قیمت هر متر مربع: ,66.4 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3015991
" گزارش آگهی ,قیمت کل: ,15 میلیارد تومان,قیمت هر متر مربع: ,100 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3016002
" گزارش آگهی ,قیمت کل: ,15.56 میلیارد تومان,قیمت هر متر مربع: ,117 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3017642
" گزارش آگهی ,قیمت کل: ,14.8 میلیارد تومان,قیمت هر متر مربع: ,100 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3015985
" گزارش آگهی ,قیمت کل: ,10.5 میلیارد تومان,قیمت هر متر مربع: ,77.8 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3015980
" گزارش آگهی ,قیمت کل: ,8.9 میلیارد تومان,قیمت هر متر مربع: ,82.4 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3014813
" گزارش آگهی ,قیمت کل: ,15 میلیارد تومان,قیمت هر متر مربع: ,100 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3014808
" گزارش آگهی ,قیمت کل: ,9.2 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3017053
" گزارش آگهی ,قیمت کل: ,21 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3017056
" گزارش آگهی ,قیمت کل: ,23 میلیارد تومان,قیمت هر متر مربع: ,100 میلیون تومان, تهران ، منطقه 4 ، پاسداران ,نشان کردن",https://kilid.com/buy/detail/3012866
" گزارش آگهی , تهران ، منطقه 4 ، پاسداران ,نشان کردن",https://kilid.com/buy/detail/3007088
" گزارش آگهی ,قیمت کل: ,34.65 میلیارد تومان,قیمت هر متر مربع: ,110 میلیون تومان, تهران ، منطقه 3 ، دروس ,نمایش بیشتر,نشان کردن",https://kilid.com/buy/detail/3022280
" گزارش آگهی ,قیمت کل: ,14.85 میلیارد تومان,قیمت هر متر مربع: ,110 میلیون تومان, تهران ، منطقه 4 ، پاسداران ,نشان کردن",https://kilid.com/buy/detail/2994413
" گزارش آگهی ,قیمت کل: ,14.08 میلیارد تومان,قیمت هر متر مربع: ,110 میلیون تومان, تهران ، منطقه 3 ، بلوار میرداماد ,نشان کردن",https://kilid.com/buy/detail/3024656
" گزارش آگهی ,قیمت کل: ,29.9 میلیارد تومان,قیمت هر متر مربع: ,115 میلیون تومان, تهران ، منطقه 3 ، دروس ,نشان کردن",https://kilid.com/buy/detail/3036286
" گزارش آگهی ,قیمت کل: ,8.24 میلیارد تومان,قیمت هر متر مربع: ,80 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3017643
" گزارش آگهی ,قیمت کل: ,10.5 میلیارد تومان,قیمت هر متر مربع: ,82 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3022002
" گزارش آگهی ,قیمت کل: ,23.2 میلیارد تومان,قیمت هر متر مربع: ,145 میلیون تومان, تهران ، منطقه 4 ، پاسداران - ضرابخانه ,نشان کردن",https://kilid.com/buy/detail/3036198
" گزارش آگهی ,قیمت کل: ,22.89 میلیارد تومان,قیمت هر متر مربع: ,105 میلیون تومان, تهران ، منطقه 4 ، پاسداران - ضرابخانه ,نشان کردن",https://kilid.com/buy/detail/3036429
" گزارش آگهی ,قیمت کل: ,10.5 میلیارد تومان,قیمت هر متر مربع: ,65.6 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3022617
" گزارش آگهی ,قیمت کل: ,8.2 میلیارد تومان,قیمت هر متر مربع: ,79.6 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3021998
" گزارش آگهی ,قیمت کل: ,10.6 میلیارد تومان,قیمت هر متر مربع: ,93.8 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3033655
" گزارش آگهی ,قیمت کل: ,11.5 میلیارد تومان,قیمت هر متر مربع: ,100 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3033221
" گزارش آگهی ,قیمت کل: ,17 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3030534
" گزارش آگهی ,قیمت کل: ,9 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3029316
" گزارش آگهی ,قیمت کل: ,6.2 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3029000
" گزارش آگهی ,قیمت کل: ,15 میلیارد تومان, تهران ، منطقه 6 ، جهان ارا ,نشان کردن",https://kilid.com/buy/detail/3028992
" گزارش آگهی ,قیمت کل: ,9.8 میلیارد تومان, تهران ، منطقه 6 ، جهان ارا ,نشان کردن",https://kilid.com/buy/detail/3029319
" گزارش آگهی ,قیمت کل: ,17 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3028997
" گزارش آگهی ,قیمت کل: ,20.7 میلیارد تومان,قیمت هر متر مربع: ,115 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نمایش بیشتر,نشان کردن",https://kilid.com/buy/detail/3022937
" گزارش آگهی ,قیمت کل: ,16.3 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3028984
" گزارش آگهی ,قیمت کل: ,24.15 میلیارد تومان,قیمت هر متر مربع: ,115 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3020490
" گزارش آگهی ,قیمت کل: ,22.5 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3028988
" گزارش آگهی ,قیمت کل: ,12.6 میلیارد تومان,قیمت هر متر مربع: ,90 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3020481
" گزارش آگهی ,قیمت کل: ,6.2 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3023513
" گزارش آگهی ,قیمت کل: ,9.35 میلیارد تومان,قیمت هر متر مربع: ,85 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3020475
" گزارش آگهی ,قیمت کل: ,8.24 میلیارد تومان,قیمت هر متر مربع: ,80 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3018655
" گزارش آگهی , تهران ، منطقه 6 ، امیراباد ,نشان کردن",https://kilid.com/buy/detail/3039468
" گزارش آگهی , تهران ، منطقه 6 ، امیراباد ,نشان کردن",https://kilid.com/buy/detail/3039464
" گزارش آگهی , تهران ، منطقه 6 ، امیراباد ,نشان کردن",https://kilid.com/buy/detail/3039466
" گزارش آگهی ,قیمت کل: ,7 میلیارد تومان,قیمت هر متر مربع: ,71.4 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3037845
" گزارش آگهی ,قیمت کل: ,12.5 میلیارد تومان,قیمت هر متر مربع: ,105.9 میلیون تومان, تهران ، منطقه 6 ، امیراباد ,نشان کردن",https://kilid.com/buy/detail/3039469
" گزارش آگهی ,قیمت کل: ,17 میلیارد تومان,قیمت هر متر مربع: ,119.7 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3037844
" گزارش آگهی ,قیمت کل: ,10.5 میلیارد تومان,قیمت هر متر مربع: ,92.9 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3037843
" گزارش آگهی ,قیمت کل: ,9.1 میلیارد تومان,قیمت هر متر مربع: ,77.8 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3037842
" گزارش آگهی ,قیمت کل: ,12 میلیارد تومان,قیمت هر متر مربع: ,114.3 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3037841
" گزارش آگهی ,قیمت کل: ,7.5 میلیارد تومان,قیمت هر متر مربع: ,83.3 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3034994
" گزارش آگهی ,قیمت کل: ,22 میلیارد تومان,قیمت هر متر مربع: ,96.5 میلیون تومان, تهران ، منطقه 6 ، امیراباد ,نشان کردن",https://kilid.com/buy/detail/3034998
" گزارش آگهی ,قیمت کل: ,12.5 میلیارد تومان,قیمت هر متر مربع: ,105.9 میلیون تومان, تهران ، منطقه 6 ، امیراباد ,نشان کردن",https://kilid.com/buy/detail/3034996
" گزارش آگهی , تهران ، منطقه 6 ، امیراباد ,نشان کردن",https://kilid.com/buy/detail/3034991
" گزارش آگهی ,قیمت کل: ,7.6 میلیارد تومان,قیمت هر متر مربع: ,84.4 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3034855
" گزارش آگهی ,قیمت کل: ,9.8 میلیارد تومان,قیمت هر متر مربع: ,78.4 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3034858
" گزارش آگهی ,قیمت کل: ,8.5 میلیارد تومان,قیمت هر متر مربع: ,77.3 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/3034864
" گزارش آگهی ,قیمت کل: ,5.62 میلیارد تومان, تهران ، منطقه 22 ، شهرک چیتگر ,نشان کردن",https://kilid.com/buy/detail/2982045
" گزارش آگهی ,قیمت کل: ,6.34 میلیارد تومان,قیمت هر متر مربع: ,48 میلیون تومان, تهران ، منطقه 22 ، شهرک چیتگر ,نشان کردن",https://kilid.com/buy/detail/3009073
" گزارش آگهی ,قیمت کل: ,3.18 میلیارد تومان,قیمت هر متر مربع: ,43 میلیون تومان, تهران ، منطقه 22 ، شهرک چیتگر ,نشان کردن",https://kilid.com/buy/detail/2990611
" گزارش آگهی ,قیمت کل: ,4.61 میلیارد تومان, تهران ، منطقه 22 ، شهرک چیتگر ,نشان کردن",https://kilid.com/buy/detail/3009120
" گزارش آگهی ,قیمت کل: ,4.33 میلیارد تومان, تهران ، منطقه 22 ، شهرک چیتگر ,نشان کردن",https://kilid.com/buy/detail/3008255
" گزارش آگهی ,قیمت کل: ,3.24 میلیارد تومان,قیمت هر متر مربع: ,47 میلیون تومان, تهران ، منطقه 22 ، شهرک چیتگر ,نشان کردن",https://kilid.com/buy/detail/2992298
" گزارش آگهی ,قیمت کل: ,46.8 میلیارد تومان,قیمت هر متر مربع: ,195 میلیون تومان, تهران ، منطقه 1 ، فرشته ,نشان کردن",https://kilid.com/buy/detail/3031454
" گزارش آگهی ,قیمت کل: ,4.55 میلیارد تومان,قیمت هر متر مربع: ,70 میلیون تومان, تهران ، منطقه 2 ، دریان نو ,نشان کردن",https://kilid.com/buy/detail/3039733
" گزارش آگهی ,قیمت کل: ,3.95 میلیارد تومان,قیمت هر متر مربع: ,28 میلیون تومان, تهران ، منطقه 22 ، شهرک چیتگر ,نشان کردن",https://kilid.com/buy/detail/3008213
" گزارش آگهی ,قیمت کل: ,4.15 میلیارد تومان,قیمت هر متر مربع: ,42 میلیون تومان, تهران ، منطقه 2 ، دریان نو ,نشان کردن",https://kilid.com/buy/detail/3039721
" گزارش آگهی ,قیمت کل: ,3.6 میلیارد تومان,قیمت هر متر مربع: ,69 میلیون تومان, تهران ، منطقه 5 ، شهر زیبا ,نشان کردن",https://kilid.com/buy/detail/3037693
" گزارش آگهی ,قیمت کل: ,2.8 میلیارد تومان, تهران ، منطقه 8 ، نارمک ,نشان کردن",https://kilid.com/buy/detail/2984457
" گزارش آگهی ,قیمت کل: ,4.3 میلیارد تومان,قیمت هر متر مربع: ,66 میلیون تومان, تهران ، منطقه 5 ، شهر زیبا ,نشان کردن",https://kilid.com/buy/detail/3039244
" گزارش آگهی ,قیمت کل: ,5.38 میلیارد تومان,قیمت هر متر مربع: ,62 میلیون تومان, تهران ، منطقه 5 ، سازمان برنامه جنوبی ,نشان کردن",https://kilid.com/buy/detail/3037682
" گزارش آگهی ,قیمت کل: ,5.53 میلیارد تومان,قیمت هر متر مربع: ,65 میلیون تومان, تهران ، منطقه 8 ، نارمک ,نشان کردن",https://kilid.com/buy/detail/3037278
" گزارش آگهی ,قیمت کل: ,4.2 میلیارد تومان, تهران ، منطقه 8 ، نارمک ,نشان کردن",https://kilid.com/buy/detail/3037285
" گزارش آگهی ,قیمت کل: ,17.52 میلیارد تومان,قیمت هر متر مربع: ,120 میلیون تومان, تهران ، منطقه 3 ، درب دوم ,نمایش بیشتر,نشان کردن",https://kilid.com/buy/detail/3002341
" گزارش آگهی ,قیمت کل: ,11 میلیارد تومان,قیمت هر متر مربع: ,110 میلیون تومان, تهران ، منطقه 3 ، دیباجی جنوبی ,نشان کردن",https://kilid.com/buy/detail/3037924
" گزارش آگهی ,قیمت کل: ,44.52 میلیارد تومان,قیمت هر متر مربع: ,120 میلیون تومان, تهران ، منطقه 1 ، قیطریه ,نمایش بیشتر,نشان کردن",https://kilid.com/buy/detail/3037931
" گزارش آگهی ,قیمت کل: ,25 میلیارد تومان,قیمت هر متر مربع: ,125 میلیون تومان, تهران ، منطقه 3 ، دیباجی جنوبی ,نشان کردن",https://kilid.com/buy/detail/3032193
" گزارش آگهی ,قیمت کل: ,4.24 میلیارد تومان,قیمت هر متر مربع: ,77 میلیون تومان, تهران ، منطقه 5 ، سردار جنگل ,نشان کردن",https://kilid.com/buy/detail/3040858
" گزارش آگهی ,قیمت کل: ,32.5 میلیارد تومان,قیمت هر متر مربع: ,130 میلیون تومان, تهران ، منطقه 1 ، قیطریه ,نمایش بیشتر,نشان کردن",https://kilid.com/buy/detail/3037928
" گزارش آگهی ,قیمت کل: ,31.25 میلیارد تومان,قیمت هر متر مربع: ,125 میلیون تومان, تهران ، منطقه 3 ، درب دوم ,نشان کردن",https://kilid.com/buy/detail/3032190
" گزارش آگهی ,قیمت کل: ,4.88 میلیارد تومان,قیمت هر متر مربع: ,32.5 میلیون تومان, تهران ، منطقه 2 ، ستارخان ,نشان کردن",https://kilid.com/buy/detail/2700351
" گزارش آگهی ,قیمت کل: ,6.65 میلیارد تومان,قیمت هر متر مربع: ,52 میلیون تومان, تهران ، منطقه 2 ، صادقیه ,نشان کردن",https://kilid.com/buy/detail/3002627
" گزارش آگهی ,قیمت کل: ,4.18 میلیارد تومان,قیمت هر متر مربع: ,76 میلیون تومان, تهران ، منطقه 5 ، پونک جنوبی ,نشان کردن",https://kilid.com/buy/detail/3040632
" گزارش آگهی ,قیمت کل: ,8.64 میلیارد تومان,قیمت هر متر مربع: ,66.5 میلیون تومان, تهران ، منطقه 2 ، ستارخان ,نشان کردن",https://kilid.com/buy/detail/3015535
" گزارش آگهی ,قیمت کل: ,2.15 میلیارد تومان, تهران ، منطقه 4 ، جوادیه ,نشان کردن",https://kilid.com/buy/detail/3037338
" گزارش آگهی ,قیمت کل: ,12.15 میلیارد تومان,قیمت هر متر مربع: ,75 میلیون تومان, تهران ، منطقه 2 ، صادقیه ,نشان کردن",https://kilid.com/buy/detail/2908514
" گزارش آگهی ,قیمت کل: ,8.15 میلیارد تومان, تهران ، منطقه 8 ، نارمک ,نشان کردن",https://kilid.com/buy/detail/3039988
" گزارش آگهی ,قیمت کل: ,5.65 میلیارد تومان, تهران ، منطقه 5 ، جنت اباد جنوبی ,نشان کردن",https://kilid.com/buy/detail/3021820
" گزارش آگهی ,قیمت کل: ,4.55 میلیارد تومان, تهران ، منطقه 5 ، جنت اباد جنوبی ,نشان کردن",https://kilid.com/buy/detail/3031749
" گزارش آگهی ,قیمت کل: ,6.5 میلیارد تومان, تهران ، منطقه 8 ، نارمک ,نشان کردن",https://kilid.com/buy/detail/3040003
" گزارش آگهی ,قیمت کل: ,6.1 میلیارد تومان, تهران ، منطقه 8 ، نارمک ,نشان کردن",https://kilid.com/buy/detail/3039990
" گزارش آگهی ,قیمت کل: ,4.48 میلیارد تومان, تهران ، منطقه 8 ، نارمک ,نشان کردن",https://kilid.com/buy/detail/3039993
" گزارش آگهی ,قیمت کل: ,11.5 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/2978955
" گزارش آگهی ,قیمت کل: ,16.6 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/2978922
" گزارش آگهی ,قیمت کل: ,4.5 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/2978912
" گزارش آگهی ,قیمت کل: ,6.55 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/2978907
" گزارش آگهی ,قیمت کل: ,5.3 میلیارد تومان, تهران ، منطقه 5 ، ارم ,نشان کردن",https://kilid.com/buy/detail/3036511
" گزارش آگهی ,قیمت کل: ,9.95 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/2978963
" گزارش آگهی ,قیمت کل: ,10.5 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/2978891
" گزارش آگهی ,قیمت کل: ,9 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/2978899
" گزارش آگهی ,قیمت کل: ,9.35 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/2978888
" گزارش آگهی ,قیمت کل: ,8.5 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/2978878
" گزارش آگهی ,قیمت کل: ,14.2 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/2978876
" گزارش آگهی ,قیمت کل: ,7.3 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/2978959
" گزارش آگهی ,قیمت کل: ,8.56 میلیارد تومان,قیمت هر متر مربع: ,92 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/2977733
" گزارش آگهی ,قیمت کل: ,20.9 میلیارد تومان,قیمت هر متر مربع: ,95 میلیون تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/2977749
" گزارش آگهی ,قیمت کل: ,11.96 میلیارد تومان, تهران ، منطقه 6 ، یوسف اباد ,نشان کردن",https://kilid.com/buy/detail/2977691
