Address,Descriprion,age,area,elevator,parking,price,rooms,total_price,type,warehouse
 تهران، تهران، سازمان برنامه جنوبی ," امکانات رفاهی و تفریحی: روف گاردن، لابی,
وضعیت سکونت: تخلیه,
نوع سند: شخصی,
آشپزخانه: هود، گاز رومیزی، اپن,
امکانات امنیتی: درب ریموت کنترل، درب ضد سرقت، دوربین مداربسته، اطفاء حریق، اعلام حریق,
تعداد واحد در طبقه: 4,
سایر امکانات: کمد دیواری، لابی من، خواب مستر، شیرآلات خارجی,
موقعیت جغرافیایی بنا: جنوبی,
کفپوش: موزاییک,
طبقه ملک: 3,
کابینت: MDF,
موقعیت جغرافیایی واحد: جنوبی,
سیستم گرمایشی و سرمایشی: شوفاژ، پکیج,
تعداد طبقات: 5,
تعداد پارکینگ: ۱,
,
 ⭕زندگی خوب در انتخاب های خوب است⭕ ,
,
 و خرید خانه یکی از موضوع های اساسی است,
,
,
تمام موارد آگهی واقعی می‌باشد!,
,
⭕لابی مجلل و سالن اجتماعات⭕,
,
⭕لابی من و سرایداری 24 ساعته⭕,
,
⭕مشاعات لوکس و مدرن⭕,
,
⭕ساختمانی آرام و منظم ⭕,
,
⭕خوش نقشه مهندسی شده⭕,
,
⭕نورگیر متناسب⭕,
,
واحد های شخصی و بدون مشابه را از ما بخواهید,
,
کارشناس و مشاور تخصصی منطقه 5 نیما خوش بین,
,
,
,
,
,
,
,
  , ,   ,   ", 9 سال , 52 , دارد , دارد ," 68,269,000 ", 1 ,"3,550,000,000", آپارتمان , دارد 
 تهران، تهران، کریمخان ," طبقه ملک: 3,
,
بنام خدا,
,
آپارتمان 71/40 متری تک خواب کریم خان سنایی,
8 سال ساخت,
پارکینگ طبقه ی همکف,
انباری 3/5 متر با سقف بلند,
آسانسور ,
5 طبقه ی 3 واحدی / طبقه ی 3,
خوش نقشه و خوش چیدمان,
سالن پرده خور,
نور گیر مطلوب,
کفپوش سنگ,
سرمایش کولر گازی/ گرمایش شوفاژ ( پکیج ),
مشاعات بسیار تمیز,
,
فایلی در خور تامل برای زوج های جوان,
,
لوکیشن پل کریم خان خیابان سنایی,
,
             املاک آلما 202 یوسف آباد,
,
                        حسنخانی , ,   ,   ", 8 سال , 71 , دارد , دارد ," 68,028,000 ", 1 ,"4,830,000,000", آپارتمان , دارد 
 تهران، تهران، سوهانک ," طبقه ملک: 4,
,
سوهانک ,
100 متر 2 خواب ,
,
پارکینگ انباری آسانسور ,
لابی و سرایداری ,
,
5طبقه 3 واحدی,
,
ویو باغ  ,
,
غیر قابل تبدیل,
مجرد موجه میدن بدون حیوان خونگی,
,
,
نصیری , ,   ,   ",Null, 100 ,ندارد,ندارد,Null,Null,,Null,ندارد
 تهران، تهران، اختیاریه ," طبقه ملک: 6,
,
تو عنوان همه چی رو گفتم ,
نور مستقیم جنوب با ویو ابدی ,
پنجره ها تمام قدی ,
بالکن 8 متری داره ,
داکت اسپیلت ,
بازم میگم ویو عالی داره ,
سرایداری داره با لابی ,
طبقه بالاست مشرف هم نداره ,
2 پارکینگ داره ,
انباری و آسانسور داره ,
اعلام اطفا حریق داره ,
جارو برقی مرکزی هم دیدم داره ,
دیگه چی میخوای ؟,
دسترسی هاشم عالیه , ,   ,   ", 10 سال , 167 , دارد , دارد ," 69,880,000 ", 3 ,"11,670,000,000", آپارتمان , دارد 
 تهران، تهران، نیاوران ," طبقه ملک: 2,
,
بهترین لوکیشن نیاوران دربند,
ساختمان اصیل ,
103متر دوخواب ,
نور از جنوب ,
تراس قابل چیدمان ,
فول مشاعات ,
استخر سونا جکوزی ,
سالن اجتماعات ,
وسالن جیم ,
روف گاردن چهار فصل ,
لابی مبله مجلل,
لابی من 24ساعته ,
سرایداری مقیم 24ساعته ,
تیم خدماتی 24ساعته ,
,
مشاور تخصصی نیاوران ,
️️ پزشکی , ,
,
 , ,   ,   ", 5 سال , 103 , دارد , دارد ," 121,359,000 ", 2 ,"12,500,000,000", آپارتمان , دارد 
 تهران، تهران، شهرک آزادی ," امکانات رفاهی و تفریحی: فضای سبز، حیاط مشاع، لابی، آلاچیق، فضای بازی کودکان,
طبقه ملک: 7,
آشپزخانه: اپن,
نمای ساختمان: سنگی,
امکانات امنیتی: دوربین مداربسته، نگهبانی 24 ساعته,
امکانات ورزشی: سالن بدنسازی، سونا جکوزی مشاع,
سایر امکانات: خواب مستر، شیرآلات خارجی، لابی من، پارکینگ مهمان,
,
**کلید اپارتمان شما دست ماست**,
,
پیش فروش اپارتمان 120 متری,
        2 خواب با یک خواب مستر,
        2 تراس قابل چیدمان,
        سالن سرتاسر پرده خور و غرق نور,
,
فول انشعابات و فول مشاعات,
,
**اپارتمانی سند دار و ثبت سند در دفاتر اسناد رسمی**,
,
           دارای وام بانکی بدون نیاز به ضامن,
,
#فقط با مبلغ اجاره یک اپارتمان صاحب خانه رویایی خود شوید#,
,
جهت کسب اطلاعات بیشتر و بازدید پروژه کارشناس شما؛خانم نیکو , ,   ,   ", نوساز , 120 , دارد , دارد ," 14,000,000 ", 2 ,"1,680,000,000", آپارتمان , دارد 
 تهران، تهران، بلوار فردوس غرب ," سایر امکانات: خواب مستر، کمد دیواری، شیرآلات خارجی، دیوار نقاشی، کاغذ دیواری، آنتن مرکزی,
طبقه ملک: 3,
نمای ساختمان: سنگی,
امکانات امنیتی: درب ضد سرقت، دوربین مداربسته، آیفون تصویری,
نوع سند: شخصی,
وضعیت سکونت: تخلیه,
تعداد پارکینگ: ۱,
سیستم گرمایشی و سرمایشی: شوفاژ، کولر گازی، پکیج,
کابینت: های گلاس,
تعداد طبقات: 5,
آشپزخانه: اپن، هود، گاز رومیزی,
موقعیت جغرافیایی واحد: شمالی,
کفپوش: سرامیک,
تعداد واحد در طبقه: 4,
موقعیت جغرافیایی بنا: شمالی,
,
                        به نام خدای عشق,
,
 76 متر سالن پرده خور غرق نور ,
⭕ آشپزخانه کد بانو پسند,
 واحد دو کله نور گیر ,
*-----------------------------------------------*,
〽️ زیر قیمت منطقه *,
〽️ پارکینگ انباری آسانسور سندی ,
〽️ مشاعات عالی ,
〽️اتاق خواب ها پرده خور نور فوق‌العاده ,
*------------------------------------------------*,
⭕ لوکیشن دنج و آروم بدون هیچ مزاحمت ,
 مشاعات ساختمان بسیار تمیز,
⭕ جزو کم واحد ترین ساختمان فردوس غرب,
 قیمت متری 63 میلیون مگه داریم تو منطقه ,
*------------------------------------------------*,
  مدت زمان این آگهی 24 ساعته تا فردا فروش میره,
️ وقت طلاست همین الان با ما تماس بگیرید,
⭕ دپارتمان فرنام برای جلب رضایت شما می اندیشد,
 مشاور شما : عباسی «متخصص امور ملکی منطقه 5 »* , ,   ,   ", 13 سال , 77 , دارد , دارد ," 62,727,000 ", 2 ,"4,830,000,000", آپارتمان , دارد 
 تهران، تهران، باغ فیض ," امکانات رفاهی و تفریحی: روف گاردن، لابی، آلاچیق، فضای بازی کودکان، باربیکیو، فضای سبز,
سایر امکانات: برق ۳ فاز، اینترنت مرکزی، مستخدم، دستگاه خودپرداز، درب برقی، خواب مستر، کمد دیواری، لابی من، پارکینگ مهمان، آنتن مرکزی، نشیمن مجزا، برق اضطراری، سرویس بهداشتی فرنگی,
امکانات امنیتی: اعلام حریق، دزد گیر، نگهبانی 24 ساعته، درب ریموت کنترل، اطفاء حریق، سرایدار، آیفون تصویری، مرکز مانیتورینگ، حفاظ، درب ضد سرقت، پله اضطراری، دوربین مداربسته,
کفپوش: پارکت,
کابینت: MDF,
امکانات ورزشی: سالن بدنسازی,
سیستم گرمایشی و سرمایشی: چیلر,
نمای ساختمان: سیمانی,
طبقه ملک: 30,
,
پروژه ای عالی برای سرمایه گذاری,
,
تنها با پیش پرداخت 435 م تومان,
,
به همراه وام به مبلغ 450 م تومان/بدون ضامن/گود برداری انجام شده با تجهیز کارگاه,
,
دارای اسکلت و فوندانسیون,
,
واحد 150 متری 3 خواب / 2 تراس بزرگ قابل چیدمان / یک خواب مستر,
,
یک بلوک 30 طبقه دارای 25 طبقه مسکونی یعنی واحد، 4 طبقه پارکینگ، انباری، یک طبقه لابی، ,
هر طبقه 8 واحد,
,
خریدی مطمئن و بدون واسطه مستقیم از تعاونی/ بدون پرداخت حق کمیسیون,
,
امکانات رفاهی : روف گاردن، سونا، جکوزی، حمام ترکی، کارواش,
دارای جواز ساخت بروز و آماده,
,
کارشناس تعاونی مرکزی منطقه 22,
خانم کریمی ,
,
,
 , ,   ,   ", نوساز , 150 , دارد , دارد ," 16,500,000 ", 3 ,"2,475,000,000", آپارتمان , دارد 
 تهران، تهران، شهرزیبا ," طبقه ملک: 4,
,
به نام خالق هستی,
همه رویا میفروشند ما اینده,
بهترین سود در خرید مناسب است,
مهندس امیریان کارشناس تخصصی منطقه در امور خرید و فروش اپارتمان مسکونی/تجاری/باغ و باغچه ,
,
,
155 متر ,
ساختمان برند,
3خواب ,
طبقه 4,
روبنما روبه افتاب,
پارکینگ سندی,
نما تراورتن,
نوساز,
پکیج رادیات,
فول بازسازی,
کابینت ها فول،گاز و هود,
انباری و بالکن بزرگ,
گچبری ,
آماده بازدید,
سند آزاد,
,
,
,
رهن و وام از مبلغ کل کم شده,
خرید از شما تضمین سود از ما,
دفتر بزرگ الماس شهر با سابقه بیش از 18سال با سابقه درخشان در منطقه در خدمت شما سرمایه گذاران میباشد.,
ادرس دفتر:فاز یک اندیشه،بین 13و14 شرقی،نبش خیابان گلنوش،شعبه یک مسکن الماس شهر،مهندس امیریان, , ,   ,   ", نوساز , 155 , دارد , دارد ," 19,677,000 ", 3 ,"3,050,000,000", آپارتمان , دارد 
 تهران، تهران، شهرزیبا ," طبقه ملک: 4,
,
به نام خالق هستی,
همه رویا میفروشند ما اینده,
بهترین سود در خرید مناسب است,
مهندس امیریان کارشناس تخصصی منطقه در امور خرید و فروش اپارتمان مسکونی/تجاری/باغ و باغچه ,
,
,
,
120متر فول امکانات,
نوساز کلید نخورده,
روبنما  غرق درنور,
,
ویو استثنایی  ,
نما تراورتن رومی,
کابینت ممبران درجه یک,
طبقه 4 ,
پارکینگ سندی,
درب ریموت,
آسانسور,
,
انباری و بالکن بزرگ,
تی وی روم,
دوخواب تخت خور ,
کمد دیواری و جاکفشی و میز کامپیوتر,
,
پکیج و رادیاتور نصب,
نقاشی و پتینه کاری حرفه ای,
لوستر سرامیکی,
گاز رومیزی و هود مخفی,
شیرالات برند,
,
تک بلوک,
16 واحدی,
هر طبقه 4 واحد,
درب ضد سرقت,
ملک دونبش,
تخلیه ,
,
,
,
رهن و وام از مبلغ کل کم شده,
خرید از شما تضمین سود از ما,
دفتر بزرگ الماس شهر با سابقه بیش از 18سال با سابقه درخشان در منطقه در خدمت شما سرمایه گذاران میباشد.,
ادرس دفتر:فاز یک اندیشه،بین 13و14 شرقی،نبش خیابان گلنوش،شعبه یک مسکن الماس شهر،مهندس امیریان, , ,   ,   ", نوساز , 120 , دارد , دارد ," 22,000,000 ", 2 ,"2,640,000,000", آپارتمان , دارد 
 تهران، تهران، ارم ," سیستم گرمایشی و سرمایشی: پکیج، کولر آبی، شوفاژ,
نمای ساختمان: سنگی,
امکانات امنیتی: آیفون تصویری، دوربین مداربسته,
کابینت: های گلاس,
موقعیت جغرافیایی بنا: شمالی,
تعداد طبقات: 5,
سایر امکانات: شیرآلات خارجی، آنتن مرکزی، دیوار نقاشی، کاغذ دیواری، کمد دیواری، خواب مستر,
آشپزخانه: هود، سینک دوقلو، اپن، گاز رومیزی,
طبقه ملک: 2,
نوع سند: شخصی,
وضعیت سکونت: تخلیه,
کفپوش: سرامیک,
تعداد پارکینگ: ۱,
تعداد واحد در طبقه: 4,
موقعیت جغرافیایی واحد: شمالی,
,
                        به نام خدای عشق,
,
 76 متر سالن پرده خور غرق نور ,
⭕ آشپزخانه کد بانو پسند,
 واحد دو کله نور گیر ,
*-----------------------------------------------*,
〽️ زیر قیمت منطقه *,
〽️ پارکینگ انباری آسانسور سندی ,
〽️ مشاعات عالی ,
〽️اتاق خواب ها پرده خور نور فوق‌العاده ,
*------------------------------------------------*,
⭕ لوکیشن دنج و آروم بدون هیچ مزاحمت ,
 مشاعات ساختمان بسیار تمیز,
⭕ جزو کم واحد ترین ساختمان فردوس غرب,
 قیمت متری 63 میلیون مگه داریم تو منطقه ,
*------------------------------------------------*,
  مدت زمان این آگهی 24 ساعته تا فردا فروش میره,
️ وقت طلاست همین الان با ما تماس بگیرید,
⭕ دپارتمان فرنام برای جلب رضایت شما می اندیشد,
 مشاور شما : عباسی «متخصص امور ملکی منطقه 5 »* , ,   ,   ", 13 سال , 76 , دارد , دارد ," 63,421,000 ", 2 ,"4,820,000,000", آپارتمان , دارد 
 تهران، تهران، پیروزی ," خریدار واقعی فقط پیام بده , ,   ,   ",Null, سدان (سواری) ,ندارد,ندارد,Null,Null,قیمت توافقی,Null,ندارد
 تهران، تهران، جردن ," طبقه ملک: 1,
نمای ساختمان: سنگی,
,
آپارتمان 114 متری با 2 اتاق در یکی از بهترین خیابان‌های جردن,
,
                !!! فقط بپرس چند ؟؟؟,
,
نقاشی شده و تمیز در اختیار شما,
غرق در نور + نقشه عالی,
پاسیو اختصاصی,
,
و جزئیات دیدنی و شنیدنی دیگر...,
,
برای کسب اطلاعات بیشتر همین حالا تماس بگیرید,
مشاور شما در امور ملکی: تابش,
,
,
,
,
در 24 ساعت شبانه روز پاسخگوی شما عزیزان هستم,
,
هر بودجه و سلیقه ای که دارید ما برای شما واحدی در شان و منزلت شما در نظر داریم فقط کافیست با ما تماس بگیرید , ,   ,   ",Null, ۱۱۴ ,ندارد,ندارد,Null, ۲ ,, آپارتمان ,ندارد
 تهران، تهران، یافت آباد - بازار مبل ," با سلام ,
مزدا وانت 2000 کدل 83 تک کابین بنزینی  دچار ,
صانحه اتش سوزی شده و ازش یه اتاق یه شاسی یه بلوک سلندر و یه سندو کارت سوخت مونده و بقیش از حرارت اب شده ,
قبل صانحه ماشین بیرنک وپلمپ و اس بود  ,
لطفا بدرد هرکی ک میخوره و مشتری واقعیه تماس بگیره ممنون.... ,
خودرو شهر قزوین میباشد , ,   ,   ",Null, وانت ,ندارد,ندارد,Null,Null,"50,000,000",Null,ندارد
 تهران، تهران، قلهک ," تعداد طبقات: 4,
طبقه ملک: 4,
تعداد واحد در طبقه: 1,
نمای ساختمان: سنگی,
,
فقط و فقط با 6 میلیارد صاحب آپارتمان 100 با 2 خواب شوید,
,
,
تکواحدی,
غرق در نور + نقشه عالی,
مالک فروشنده و منعطف,
,
و جزئیات دیدنی و شنیدنی دیگر...,
,
برای کسب اطلاعات بیشتر همین حالا تماس بگیرید,
مشاور شما در امور ملکی: تابش,
,
,
,
,
در 24 ساعت شبانه روز پاسخگوی شما عزیزان هستم,
,
هر بودجه و سلیقه ای که دارید ما برای شما واحدی در شان و منزلت شما در نظر داریم فقط کافیست با ما تماس بگیرید , ,   ,   ", 10 سال , 100 , دارد , دارد ," 60,000,000 ", 2 ,"6,000,000,000", آپارتمان , دارد 
 تهران، تهران، شهرک غرب ," نصف درب عقب رنگ دارد ,
سواری فوق العاده نرم و راحت ,
جلوبندی کامل تعویض شده ,
لنتها باتری شمع وایر تسمه تعویض شده,
لاستیک 4 حلقه نو ,
معاینه فنی ,
کیلس و کروز کنترل فابریکی خودم بستم ,
روغن و روغن گیربکس تازه تعویض شده,
سرامیک بدنه شیشه رینگ ,
بازدید اسلامشهر و شهرک غرب , ,   ,   ",Null, سدان (سواری) ,ندارد,ندارد,Null,Null,"640,000,000",Null,ندارد
 تهران، تهران، جنت آباد جنوبی ," رینگ استیل,
سرویس های دوره ایی ، معائینه فنی،تعویض روغن ها انجام شده  , ,   ,   ",Null, هاچ بک ,ندارد,ندارد,Null,Null,"550,000,000",Null,ندارد
 تهران، تهران، جنت آباد جنوبی ," طبقه ملک: 1,
آشپزخانه: گاز رومیزی، نورگیر سقفی، سینک تک، هود، اپن,
کابینت: های گلاس,
کفپوش: سرامیک,
سیستم گرمایشی و سرمایشی: موتورخانه مرکزی,
,
سالن پرده خور ,
خوش نقشه مشابه 80 متری,
فول بازسازی شده , ,   ,   ", 18 سال , 70 , دارد , دارد ," 61,429,000 ", 2 ,"4,300,000,000", آپارتمان , دارد 
 تهران، تهران، یوسف آباد ," امکانات رفاهی و تفریحی: حیاط خلوت، حیاط مشاع,
طبقه ملک: 5,
نمای ساختمان: سنگی، آجری,
سیستم گرمایشی و سرمایشی: کولر آبی، شوفاژ,
امکانات امنیتی: دوربین مداربسته، درب ضد سرقت، آیفون تصویری,
کابینت: MDF,
کفپوش: سنگ,
,
کارشناس امور ملکی منطقه:فرید,
,
نقشه مهندسی,
نورگیری عالی ,
سالن و اتاق ها پرده خور,
کمد دیواری,
مشاعات بسیار تمیز,
ساختمان خلوت و ارام,
همسایگان محترم,
,
جهت اطلاعات بیشتر تماس بگیرید,
,
فایل های قوی منطقه را از ما بخواهید,
,
کارشناسی شده و به قیمت,
,
کارشناس امور ملکی منطقه:فرید,
املاک بزرگ الما202 , ,   ,   ", 11 سال , 84 , دارد , دارد ," 89,167,000 ", 2 ,"7,490,000,000", آپارتمان , دارد 
 تهران، تهران، قنات کوثر ," سالم ,
به شرط,
بدون ایراد,
تمام سرویس ها درنمایندگی مرکزی انجام شده , ,   , ,   ",Null, سدان (سواری) ,ندارد,ندارد,Null,Null,"750,000,000",Null,ندارد
 تهران، تهران، درب دوم - قلندری ," طبقه ملک: 1,
,
فوری فوری ,
نور و نقشه عالی ,
پارکینگ سندی ,
فول امکانات ,
پنجره های قدی,
کلید نخورده,
کم واحد,
طبقات بالا ,
سرایداری مقیم ,
بالکن کاربردی,
لوکیشن دنج و مشجر ,
دسترسی عالی ,
برای کسب اطلاعات بیشتر تماس بگیرید ,
مشاور تخصصی منطقه سپهر سپهدا , ,   ,   ", نوساز , 85 , دارد , دارد ," 103,529,000 ", 2 ,"8,800,000,000", آپارتمان , دارد 
 تهران، تهران، سهروردی جنوبی ," طبقه ملک: 1,
,
135 متر - 3 خواب ,
سهروردی جنوبی,
,
خوش نقشه و پر نور ,
خوابهای مناسب ,
هر سه خواب دارای کمد دیواری,
تراس ,
لوکیشن و دسترسی عالی,
ساختمان امن و آرام,
همسایه های بسیار محترم,
,
فایلهای مشابه موجود میباشد.,
⭐مشاور همراه شما خانم حامی,
املاک بزرگ سیمرغ,
, , ,   ,   ",Null, 135 ,ندارد,ندارد,Null,Null,,Null,ندارد
 تهران، تهران، اختیاریه ," تعداد واحد در طبقه: 2,
طبقه ملک: 1,
وضعیت سکونت: تخلیه,
تعداد طبقات: 6,
نوع سند: شخصی,
تعداد پارکینگ: ۱,
,
,
,
فایل به قیمت رسیده ,
,
مالک بسیار فروشنده ,
,
یکی از لوکیشن های تاپ منطقه ,
,
مشجر و دنج ,
,
گذر فوق العاده در عین حال تردد کم ,
,
ساختمان کم سن ,
,
مشاعات تمیز ,
,
غرق نور ,
,
نشیمن قابل چیدمان و پرده خور ,
,
2 خواب استاندارد به همراه کمد دیواری ,
,
و آشپزخانه با فضایی ایده آل و کابینت های استاندارد,
,
مشاور شما ,
سپهدار ,
  , ,   ,   ", 7 سال , 98 , دارد , دارد ," 63,265,000 ", 2 ,"6,200,000,000", آپارتمان , دارد 
